Var1_1,Var1_2,s
0.6098765,-1.344348,CC(C)=CCCC(C)C(C=O)=C
0.4969797,-1.318199,CC(C)=CCCC(C)CC(CCC(C)C)=O
0.4902549,-1.371515,CC(C)=CCCC(C)CC(O)=O
0.274703,-1.507768,CC(C)=CCCC(C)CCO
0.1378881,-1.430338,CC(C)=CCCC(C)CCOC(/C(C)=C/C)=O
0.2399198,-1.46113,CC(C)=CCCC(C)CCOC(C)=O
0.2260488,-1.376919,CC(C)=CCCC(C)CCOC(CC(C)C)=O
0.2346261,-1.45661,CC(C)=CCCC(C)CCOC(CC)=O
0.3083715,-1.315186,CC(C)=CCCC(C)CCOC(CC1=CC=CC=C1)=O
0.221553,-1.455513,CC(C)=CCCC(C)CCOC(CCC)=O
0.2544866,-1.398239,CC(C)=CCCC(C)CCOC=O
0.2797194,-1.405469,CC(C)=CCCC(C)CCOCC=O
0.4244272,-1.337517,CC(C)=CCCC(C1=CC=C(C)C=C1)C
0.09303781,-1.101703,CC(C)=CCCC(C=C)(OC(C(C)C)=O)C
0.2001617,-1.164124,CC(C)=CCCC(C=C)(OC(C)=O)C
0.1931206,-1.153246,CC(C)=CCCC(C=C)(OC(CC)=O)C
0.2663549,-1.204751,CC(C)=CCCC(C=C)(OC=O)C
0.4850889,-1.341458,CC(C)=CCCC(C=C)=C
0.4544073,-1.387993,CC(C)=CCCC(CC)(O)C
0.3900461,-1.511026,CC(C)=CCCC(CCO)=C
0.4438597,-1.303344,CC(C)=CCCC1=CCCC(C=O)C1
0.4662033,-1.612359,CC(C)=CCC[C@@H](C)CC#N
0.4938114,-1.363681,CC(C)=CCC[C@H](C)[C@@H](CC1)C=CC1=C
0.2604695,-1.420938,CC(C)=CCOC(C)=O
0.2007951,-1.323467,CC(C)C(C1)CCC(C)C1=O
0.3358094,-1.381011,CC(C)C(C=C1)CCC1=O
0.3610009,-1.36778,CC(C)C(CC1)C=CC1=C
0.3530704,-1.395684,CC(C)C(O)=O
0.3216576,-0.9453416,CC(C)C(O)C(C)(C)COC(C(C)C)=O
0.3110976,-1.358044,CC(C)C(OCCCCCC)=O
0.3117924,-1.322172,CC(C)C1(CC12)CC(O)C2=C
0.3092816,-1.346575,CC(C)C1(CC2)CC1C2=C
0.4949906,-1.310197,CC(C)C1(CC2)CCC2(C)O1
0.395822,-1.297485,CC(C)C1(CC2OC(C)=O)CC1C2=C
0.4038681,-1.384148,CC(C)C1(O)CCC(C)=CC1
0.4226996,-1.271081,CC(C)C12CC1C(C)(O)CC2
0.1371509,-1.258337,CC(C)C1=CC(OCC)=C(C)C=C1
0.359705,-1.296208,CC(C)C1=CC(OCC2=O)=C(OC2)C=C1
0.4860452,-1.260439,CC(C)C1=CC2=C(C=C1)N=CC=C2
0.7753558,-1.040912,CC(C)C1=CC=C(C(C)C=O)C=C1
0.4489394,-1.215736,CC(C)C1=CC=C(C)C(O)=C1
0.2668966,-1.289577,CC(C)C1=CC=C(C)CC1
0.3771626,-1.31693,CC(C)C1=CC=C(C=C1)C(C)CC=O
0.2269696,-1.431389,CC(C)C1=CC=C(C=C1)CC(C)CO
0.6302541,-1.202466,CC(C)C1=CC=C(C=O)C=C1
0.4852591,-1.25948,CC(C)C1=CC=C(C=O)CC1
0.6117622,-1.031581,CC(C)C1=CC=C(CC(C=O)C)C=C1
0.6210481,-1.221378,CC(C)C1=CC=C(CCC=O)C=C1
0.5126744,-1.28783,CC(C)C1=CC=C(CO)C=C1
0.5624504,-1.287471,CC(C)C1=CC=C(O)C=C1
0.3907666,-1.084655,CC(C)C1=CC=CC(C(C)CC=O)=C1
0.4561875,-1.361645,CC(C)C1=CCC(C)=CC1
0.2780536,-1.237883,CC(C)C1CC=C(C)C=C1
0.2226383,-1.303271,CC(C)C1CC=C(C)CC1
0.360268,-1.332836,CC(C)C1CCC(C)=C(O)C1=O
0.2027269,-1.279979,CC(C)C1CCC(C)CC1=O
0.236431,-1.180814,CC(C)C1CCC(OC(C)=O)CC1
0.3021117,-1.411451,CC(C)C1CCC2C(=CCC3C2(CCCC3(C)C(=O)OC)C)C1
0.1868233,-1.353583,CC(C)CC(C)CC(CC(C)COC(C)=O)C
0.5641628,-1.369448,CC(C)CC(C)CCCC(O)C
0.2548853,-1.275078,CC(C)CC(OC(C)=O)CC(C)C
0.03217107,-1.263297,CC(C)CC(OCC(C)C)=O
0.4053554,-1.387993,CC(C)CC(OCC)OCC
0.3308741,-1.427694,CC(C)CC(OCC/C=C\CC)=O
0.1996153,-1.332391,CC(C)CC(OCC1=CC=CC=C1)=O
0.2791952,-1.297648,CC(C)CC(OCCC1=CC=CC=C1)=O
0.5583314,-1.270784,CC(C)CC1=NC(C=CC=C2)=C2C=C1
0.2474004,-1.126332,CC(C)CCCC(C)(OC(C)=O)CC
0.5071941,-1.329025,CC(C)CCCC(C)CC#N
0.3787551,-1.394978,CC(C)CCCC(C)CC=O
0.4817229,-1.221674,CC(C)CCCC(C)CCCC(C)=O
0.248271,-1.395106,CC(C)CCCC(C)CCCC(C)CCC/C(C)=C/COC(C)=O
0.2815289,-1.679459,CC(C)CCCC(C)CCCC(C)CCC/C(C)=C\CO
0.760157,-1.139084,CC(C)CCCC(C)CCCC(C)CCCC(O)(C)C=C
0.2831198,-1.434024,CC(C)CCCC(C)CCO
0.1987945,-1.264357,CC(C)CCCC(C)CCOC(C)=O
0.253419,-1.380169,CC(C)CCOC(C)=O
0.01736671,-1.289965,CC(C)CCOC(CC(C)C)=O
0.2799905,-1.356468,CC(C)CCOC(CC)=O
